Slope_Angle,Cohesion,Friction_Angle,Nail_Inclination,Nail_Length,Drillhole_Diameter,Factor_of_Safety
30,0,5,5,6,125,0.216
30,0,5,5,6,150,0.216
30,0,5,5,6,175,0.216
30,0,5,5,6,200,0.216
30,0,5,5,9,125,0.267
30,0,5,5,9,150,0.267
30,0,5,5,9,175,0.267
30,0,5,5,9,200,0.268
30,0,5,5,12,125,0.331
30,0,5,5,12,150,0.339
30,0,5,5,12,175,0.344
30,0,5,5,12,200,0.348
30,0,5,5,15,125,0.404
30,0,5,5,15,150,0.422
30,0,5,5,15,175,0.439
30,0,5,5,15,200,0.453
30,0,5,10,6,125,0.229
30,0,5,10,6,150,0.229
30,0,5,10,6,175,0.229
30,0,5,10,6,200,0.230
30,0,5,10,9,125,0.286
30,0,5,10,9,150,0.288
30,0,5,10,9,175,0.289
30,0,5,10,9,200,0.290
30,0,5,10,12,125,0.354
30,0,5,10,12,150,0.363
30,0,5,10,12,175,0.372
30,0,5,10,12,200,0.377
30,0,5,10,15,125,0.428
30,0,5,10,15,150,0.448
30,0,5,10,15,175,0.467
30,0,5,10,15,200,0.484
30,0,5,15,6,125,0.242
30,0,5,15,6,150,0.242
30,0,5,15,6,175,0.243
30,0,5,15,6,200,0.243
30,0,5,15,9,125,0.306
30,0,5,15,9,150,0.308
30,0,5,15,9,175,0.309
30,0,5,15,9,200,0.310
30,0,5,15,12,125,0.374
30,0,5,15,12,150,0.386
30,0,5,15,12,175,0.396
30,0,5,15,12,200,0.404
30,0,5,15,15,125,0.448
30,0,5,15,15,150,0.472
30,0,5,15,15,175,0.493
30,0,5,15,15,200,0.511
30,0,5,20,6,125,0.254
30,0,5,20,6,150,0.256
30,0,5,20,6,175,0.256
30,0,5,20,6,200,0.257
30,0,5,20,9,125,0.322
30,0,5,20,9,150,0.326
30,0,5,20,9,175,0.328
30,0,5,20,9,200,0.330
30,0,5,20,12,125,0.391
30,0,5,20,12,150,0.406
30,0,5,20,12,175,0.418
30,0,5,20,12,200,0.427
30,0,5,20,15,125,0.467
30,0,5,20,15,150,0.494
30,0,5,20,15,175,0.517
30,0,5,20,15,200,0.540
30,0,15,5,6,125,0.661
30,0,15,5,6,150,0.661
30,0,15,5,6,175,0.661
30,0,15,5,6,200,0.661
30,0,15,5,9,125,0.817
30,0,15,5,9,150,0.818
30,0,15,5,9,175,0.819
30,0,15,5,9,200,0.819
30,0,15,5,12,125,1.014
30,0,15,5,12,150,1.037
30,0,15,5,12,175,1.053
30,0,15,5,12,200,1.067
30,0,15,5,15,125,1.207
30,0,15,5,15,150,1.207
30,0,15,5,15,175,1.207
30,0,15,5,15,200,1.207
30,0,15,10,6,125,0.701
30,0,15,10,6,150,0.701
30,0,15,10,6,175,0.702
30,0,15,10,6,200,0.703
30,0,15,10,9,125,0.877
30,0,15,10,9,150,0.881
30,0,15,10,9,175,0.885
30,0,15,10,9,200,0.888
30,0,15,10,12,125,1.086
30,0,15,10,12,150,1.113
30,0,15,10,12,175,1.139
30,0,15,10,12,200,1.154
30,0,15,10,15,125,1.283
30,0,15,10,15,150,1.283
30,0,15,10,15,175,1.283
